run,elapsed,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,vm_nr_dirty
495,1000,0.02047834922619978,0.0,0.009066750039080819,0.9690479912458965,0.0001563232765358762,0.0004689698296076286,0.000781616382679381,0.0,0.0,0.0,1600
495,2000,0.09726895688238517,0.0,0.037796384693638,0.8608654824321151,0.0003130135378355114,0.0012520541513420455,0.002504108302684091,0.0,0.0,0.0,1747
495,3000,0.09020712683257683,0.0,0.03386028069077059,0.8719674440444514,0.00036521103980800335,0.0012521521364845828,0.0023477852559085927,0.0,0.0,0.0,2417
